Customer Data
------------------


RPT Name: Customer
Date: 08/18/25 , Time: 15:14:45
Dr. Author: K.H Ansari


"Customer Number","Customer Name","Address","Balance","City"
3000,"Kama","Bareilly Upper Pradesh",57575.64,"Bareilly"
3005,"Sohan","Rattipolku 3",432.63,"Oslo"
3010,"Hoops ","Suite 415",1199.95,"Atlanta"
3015,"Go Fishing Ltd","Unit 2",14235.14,"Harrow"
3020,"Match Point Tennis","66 Homer Pl",0,"Boston"
3025,"Fanatical Athletes","20 Bicep Bridge Rd",1202.66,"Montgomery"
3030,"Tarik Bhai","Peltolantie 3",1112.44,"Tikkurila"
3035,"Game Set Match","Box 60",8254,"Deatsville"
3040,"Pihtiputaan Pyora","Putikontie 2",1242.14,"Pihtipudas"
3045,"Just Joggers Limited","Fairwind Trading Est",1222.11,"Ramsbottom"
3050,"Keilailu ja Biljardi","Vattuniemenkuja 8 A",1186.8,"Helsinki"
3055,"Surf Lautaveikkoset","Venemestarinkatu 35",0,"Salo"
3060,"Biljardi ja tennis","Urheilutie 1",1227.58,"Mantsala"
3065,"Paris St Germain","113, avenue du Stade",1215.25,"Paris"
3070,"Hoopla Basketball","87 Calumnet St",2619,"Egg Harbor"
3075,"Thundering Surf Inc.","354 Market St.",1237.73,"Coffee City"
3080,"High Tide Sailing","178 Schooner Hill",2648.02,"Immingham"
3085,"Antin Metsastysase","Vanhainkodinkuja 1",1188.39,"Sysma"
3090,"Buffalo Shuffleboard","155 Carolina Ave",1228.02,"Buffalo"
3095,"Espoon Pallokeskus","Sinikalliontie 18",0,"Espoo"
3100,"Pedal Power Cycles","11 Perkins St",3369.01,"Boston"
3105,"Kesport Katiska","Koskisillantie 4",1156.84,"Forssa"
3110,"Jazz Futis Kauppa","Yrjonkatu 10",1173.07,"Pori"
3115,"La Boule Lyonnaise","rue de la gare",624.34,"Lyon"
3120,"Bulls Eye Sports","Highscore House",1236.54,"Leeds"
3125,"Bumm Bumm Tennis","Weizenmarkt 17",1182.71,"Wien"
3130,"Luistin ja Pyora Oy","Ruutintie 7 A",1168.91,"Laihia"
3135,"Bug in a Rug-by","120 Henry St",1236.38,"Yamhill"
3140,"Fast Flipper Pinball","11 Centre St",1212.04,"Troy"
3145,"Jaakon Jumppavaline","Kauppiaskatu 9 B",2391.73,"Turku"
3150,"Kiiskin Jaavarustus","Kiiskinmaenkatu 5-7",1226.32,"Mikkeli"
3155,"Tennis Agentti","Vapaudenkatu 35",1204.03,"Rovaniemi"
3160,"Quick Toss Lacrosse","1a Garden Ct",1225.31,"Ada"
3165,"Penan Sporttiklubi","Salmentie 10",0,"Alavus"
3170,"La voile en folie","rue de l'Ocean",9818.49,"Brest"
3175,"Abc Mountain Bikes","Alttorstr. 23",1166.46,"Salzburg"
3180,"Hoopelin Pesapallo","Hameenkatu 16",1240,"Hyvinkaa"
3185,"Uintivaline Rapyla","Koulukatu 16 A",7069.47,"Janisjarvi"
3190,"Heikin Kuntosali","Alikeravantie 6",1211.23,"Kerava"
3195,"On Target Rifles","22 Highwood Av.",1216.81,"Osyka"
3200,"Stall-turn Flying","Hurricane Lane",1178.92,"Skye Green"
3205,"Sub Par Golf","60 Alpine St",1226.19,"Winter Park"
3210,"Ship Shape Yachting","34 Oak St",0,"Sport Hill"
3215,"Sc Ren Je Rot","Hoofdstraat 45",1170,"Atlanta"
3220,"Olympique marseilles","rue de la pastaga",1224.57,"Marseille"
3225,"Batter Up Baseball","1286 Adams Drive",4902.13,"Wingo"
3230,"Purjehdustarvike Oy","Nasilinnankatu 7 B",5921.06,"Tampere"
3235,"Jortsin Kesport","Terveyskatu 10",1170.21,"Aanekoski"
3240,"Chip's Poker","33 Kelton St",1177.91,"Dupont"
3245,"Butternut Squash Inc","113 Russell Av",1235.24,"El Centro"
3250,"Hangon Potkulauta Ky","Puistokatu 7 A 45",1226.11,"Hanko"
3255,"Offside Hockey","Puckgatan 12",6275.17,"Gavle"
3260,"Spokes Cycles","2a The Pump",8664.71,"Ipswich"
3265,"Shark Snack Snorkel","457 Ocean Drive",12175.59,"San Francisc"
3270,"Super Golf Center","Keskuskatu 27",1195.67,"Pieksamaki"
3275,"Golf Club Holland","Grasduinen 1",0,"Eindhoven"
3280,"Flying Fat Aerobics","39 Dalton St",1181,"Harfield"
3285,"Holvin juoksukeskus","Maaherrankatu 15",4808.35,"Kuopio"
3290,"Hou Hoog die Bal","Kerklaan 8",6814.35,"Amsterdam"
3295,"Squash Mestarihalli","Keskuskatu 8",1190.23,"Parkano"
3300,"Hearts Darts","209 Lewis Circle",1204.02,"Flushing"
3305,"Luopioisten Biljardi","Anna-Liisankatu 9",1225.25,"Kemi"
3310,"Hamahakkimies Ky","Tainionkoskenkatu 20",1899.58,"Imatra"
