
                                                 Customer Listing
                                                 --------------------





RPT Name: Customer     Date:                                      08/18/25
Dr Author: K.H Ansari  Time:                                      14:53:55



Cust Num- Name---------------------------- City-----------------------

 3000     Kama                             Bareilly
 3005     Sohan                            Oslo
 3010     Hoops                            Atlanta
 3015     Go Fishing Ltd                   Harrow
 3020     Match Point Tennis               Boston
 3025     Fanatical Athletes               Montgomery
 3030     Tarik Bhai                       Tikkurila
 3035     Game Set Match                   Deatsville
 3040     Pihtiputaan Pyora                Pihtipudas
 3045     Just Joggers Limited             Ramsbottom
 3050     Keilailu ja Biljardi             Helsinki
 3055     Surf Lautaveikkoset              Salo
 3060     Biljardi ja tennis               Mantsala
 3065     Paris St Germain                 Paris
 3070     Hoopla Basketball                Egg Harbor
 3075     Thundering Surf Inc.             Coffee City
 3080     High Tide Sailing                Immingham
 3085     Antin Metsastysase               Sysma
 3090     Buffalo Shuffleboard             Buffalo
 3095     Espoon Pallokeskus               Espoo
 3100     Pedal Power Cycles               Boston
 3105     Kesport Katiska                  Forssa
 3110     Jazz Futis Kauppa                Pori
 3115     La Boule Lyonnaise               Lyon
 3120     Bulls Eye Sports                 Leeds
 3125     Bumm Bumm Tennis                 Wien
 3130     Luistin ja Pyora Oy              Laihia
 3135     Bug in a Rug-by                  Yamhill
 3140     Fast Flipper Pinball             Troy
 3145     Jaakon Jumppavaline              Turku
 3150     Kiiskin Jaavarustus              Mikkeli
 3155     Tennis Agentti                   Rovaniemi
 3160     Quick Toss Lacrosse              Ada
 3165     Penan Sporttiklubi               Alavus
 3170     La voile en folie                Brest
 3175     Abc Mountain Bikes               Salzburg
 3180     Hoopelin Pesapallo               Hyvinkaa
 3185     Uintivaline Rapyla               Janisjarvi
 3190     Heikin Kuntosali                 Kerava
 3195     On Target Rifles                 Osyka
 3200     Stall-turn Flying                Skye Green
 3205     Sub Par Golf                     Winter Park
 3210     Ship Shape Yachting              Sport Hill
 3215     Sc Ren Je Rot                    Atlanta
 3220     Olympique marseilles             Marseille
 3225     Batter Up Baseball               Wingo
 3230     Purjehdustarvike Oy              Tampere
 3235     Jortsin Kesport                  Aanekoski
 3240     Chip's Poker                     Dupont
 3245     Butternut Squash Inc             El Centro
 3250     Hangon Potkulauta Ky             Hanko
 3255     Offside Hockey                   Gavle
 3260     Spokes Cycles                    Ipswich
 3265     Shark Snack Snorkel              San Francisc
 3270     Super Golf Center                Pieksamaki
 3275     Golf Club Holland                Eindhoven
 3280     Flying Fat Aerobics              Harfield
 3285     Holvin juoksukeskus              Kuopio
 3290     Hou Hoog die Bal                 Amsterdam
 3295     Squash Mestarihalli              Parkano
 3300     Hearts Darts                     Flushing
 3305     Luopioisten Biljardi             Kemi
 3310     Hamahakkimies Ky                 Imatra
 3315     Lagt Kort Ligger                 Malmo
 3320     First Down Football              Loudon
 3325     Stay Afloat Swimming             Lula
 3330     Ufo Frisbee                      Pierre
 3333     Tarik                            Muradabad
 3335     Sukellusvarustus                 Turku
 3340     U-jump Parachuting               Felldown
 3345     Pocket Billiards Co.             Phelan
 3350     Birdy's Badminton                Hydro
 3355     Auffi Bergausrustung             Innsbruck
 3360     Dark Alley Bowling               Locust
 3365     Hard Knocks Skating              Laramie
 3370     Kempeleen Intersport             Oulu
 3375     Le Hollandais volant             Rennes
 3380     Jack's Jacksssss                 Boston
 3385     Blue Line Hockey                 Orrington
 3390     Stickywicket Cricket             Nisswa
 3395     Off The Wall                     Export
 3400     Second Skin Scuba                Yuma
 3405     Fallen Arch Running              Codys Corner
 3410     Spike's Volleyball               Genoa
 3415     Mike's Sports                    Cambridge
 3420     Aqua Sport                       Philadelphia
 3425     Abc Sports                       Newtown
 3430     Athlete's Track                  Vienna
 3435     Soccer Universe                  Oak Brook
 3440     Sports Usa                       Boca Raton
 3445     Surf and Sport World             Jacksonville
 3450     Play Sports                      Boston
 3455     Alpine Snow Sports               Los Angeles
 3460     Damon's Toys                     Brighton
 3465     All Stick Sports                 Sydney
 3470     Hook, Line & Sinker              Ravine Bay
 3475     L'ecole du Tennis                Paris
 3480     Runners Anonymous                Cricksville
 3485     Armadale Fitness                 Armadale
 3490     Tennis, Anyone?                  Scarsfield
 3495     All Good Sports                  Somerset
 3500     Sport Emporium                   Allemede
 3505     The Hollywood Bowl               Altona
 3510     Wheels-a-mania                   Jesscott
 3515     Tutto Sport                      Roma
 3520     Fitz's Flying Freaks             Sonoma
 3525     Tim's Sporting Goods             Ware
 3530     Chambre du Sport                 Orlean
 3535     Balls 'n' Sticks                 North Hills
 3540     Wheelchair Athletes              Chicago
 3545     Dawn of Sport                    Bath
 3550     Sport Mondo                      Milano
 3555     Carmel's Games                   Hartford
 3560     Olympic Sports                   Bellevue
 3565     Pedersen's Ski & Sports          Bellevue
 3570     Action Sports                    Arlington
 3575     Arena Sporting Goods             Bainbridge Isle
 3580     Base Camp Inc                    Bellingham
 3585     Champs Sports                    Bellevue
 3590     Changes                          Bellevue
 3595     La Crosse Northwest              Bellevue
 3600     Prostock Athletic Supply         Bellingham
 3605     Diamond Sports Shop              Black Diamond
 3610     Sports Authority                 Bellevue
 3615     Sportscenter Nw                  Bellevue
 3620     Apple River Sports               Amery
 3625     Tnt Sports                       Amery
 3630     Gorilla & Sons                   Bellingham
 3635     Great Adventure                  Bellingham
 3640     Bcw Sports                       Appleton
 3645     E J Arena Sports                 Appleton
 3650     Diamond Hitch Sports             Bothell
 3655     D & A Sporting Goods             Abbotsford
 3660     Sonsalla's Sport Hdqrs           Arcadia
 3665     Petenwell Sport Shop             Arkdale
 3670     T J's Sport & Ski                Antigo
 3675     Athletics North                  Appleton
 3680     Jerry's Sports Svc               Beloit
 3685     Len Schmidt Sporting Goods       Appleton
 3690     Scheels Sports                   Appleton
 3695     Zide's Sport Shop Inc            Barboursville
 3700     Locker Room                      Ashland
 3705     Sports Stuff                     Ashland
 3710     Sugar River Sports               Belleville
 3715     Score Sportscenter               Bluefield
 3720     B & G Pro Shop & Sportsman       Bluewell
 3725     Waterfront Sporting Goods        Alderson
 3730     Koenig Sporting Goods            Barboursville
 3735     Littlejohn Sporting Goods        Beckley
 3740     Outdoorsmen Sporting Goods       Beckley
 3745     Spartan Team Warehouse           Beckley
 3750     Finish Line                      Bridgeport
 3755     Zides Sport                      Bridgeport
 3760     Big Sandy Sports Shop            Bruceton Mills
 3765     Capon Sport Shop                 Capon Bridge
 3770     Down Your Alley                  Charleston
 3775     Sportin' Life Inc                Charleston
 3780     Shorty's Sports Shop             Chester
 3785     Als Sport n Shop                 Afton
 3790     Lone Pine Sports                 Afton
 3795     Hidden Valley Sports             Baggs
 3800     Lain's Sport Ctr & Motel         Big Piney
 3805     Cowboy Sports                    Buffalo
 3810     Sports Lure                      Buffalo
 3815     Bush-wells Sporting Goods Co     Casper
 3820     Dean's Sporting Goods            Casper
 3825     Gart Sports                      Casper
 3830     Mountain Sports                  Casper
 3835     Second Season Sports             Casper
 3840     Timberline Sporting Goods        Casper
 3845     Lee Snow's Sporting Goods        Cheyenne
 3850     Peoples Sporting Goods           Cheyenne
 3855     All Star Sports                  Cody
 3860     Sunlight Sports                  Cody
 3865     Spoke & Edge Sports              Gillette
 3870     Rogers Sport Ctr                 Cody
 3875     M & K Sporting Goods             Alburg
 3880     Mountain Sports Ltd              Bristol
 3885     Powder Horn Sporting             Casper
 3890     Bristol Sporting Goods Inc       Bristol
 3895     Bullwinkle's                     Casper
 3900     Curotz Sports Ctr                Clarksburg
 3905     Sport Shack                      Blacksburg
 3910     Prime Sports                     Charleston
 3915     Koenig Sporting Goods            Bridgeport
 3920     Rakes Sporting Goods             Bassett
 3925     Burrows Sport Shop               Brattleboro
 3930     Tomasi's Sport Ctr               Bennington
 3935     Thygesen Sports                  Barre
 3940     Sportstuff                       Cabin Creek
 3945     T & T Sports                     Beloit
 3950     In Season Sports                 Beckley
 3955     Locker Room Sports               Barre
 3960     Dam Sport Shop                   Beaver Dam
 3965     Sports Wave                      Ascutney
 3970     Bodin's On The Lake              Ashland
 3975     Denis Sport Shop                 Appleton
 3980     Big River Sports                 Adams
 3985     Yeager's Sporting Goods/marine   Bellingham
 3990     Wilderness Sports                Bellevue
 3995     Big 5 Sporting Goods             Bellingham
 4000     Duke's Sport Shop                Milton
 4005     Island Sports                    Bainbridge Isle
 4010     Village Sport Shop               Lyndonville
 4015     Ernie's Border Sports            Derby
 4020     St John's Sporting Goods         Fair Haven
 4025     Bo Maxx Crafts & Sports Cards    Burlington
 4030     Replay Sports                    Colchester
 4035     Intersport Inc                   Arlington
 4040     Just Sports Inc                  Colchester
 4045     Thomas Sporting Goods            Bristol
 4050     Galanes Sport Shop               Brattleboro
 4055     Loading Bench Inc                Annandale
 4060     Sport-about                      Essex Junction
 4065     Casual Adventure                 Arlington
 4070     Le Blanc Sports Inc              Essex Junction
 4075     Duke's Sport Shop                Enosburg Falls
 4080     Forth'n Goal Sports              Middlebury
 4085     Manchester Sport Shop            Manchester Ctr
 4090     Team Spirit Inc                  Alexandria
 4095     Wheeler Sports                   Lyndonville
 4100     Good Sports                      Annandale
 4105     Pacers                           Alexandria
 4110     Big Pine Sports                  Fairview
 4115     Carlisle's Sport Shop            Ludlow
 4120     Cedar Mountain Sports            Cedar City
 4125     Big 5 Sporting Goods             Bellevue
 4130     Village Sports Den               Bountiful
 4135     Alta Sports                      Alta
 4140     Sports Fever                     Amarillo
 4145     Athletic X-press                 Amarillo
 4150     Hub City Sports                  Alice
 4155     Into The Outdoors Inc            Abilene
 4160     Rock Creek Down Under            Chattanooga
 4165     Superior Sporting Goods          Athens
 4170     Sports Fantasy                   Antioch
 4175     Polar Outlet                     Rapid City
 4180     Dakota Sports Inc                Rapid City
 4185     American Sports                  Montrose
 4190     Athletic Attic                   Charleston
 4195     Sportsworld                      Bishopville
 4200     Four Seasons Sporting Goods      Anderson
 4205     A & J Sports Inc                 North Smithfield
 4210     Bennett Sports                   Cranston
 4215     Dwight E Kuntz Sporting Goods    Aspers
 4220     Soc-hoc Sports Shop              Allentown
 4225     Finish Line                      Allentown
 4230     Big 5 Sporting Goods             Bend
 4235     Sportmart                        Beaverton
 4240     Sport Spot                       Cleveland
 4245     Bill's Sporting Goods            Claremore
 4250     Ron's Sports World               Bethany
 4255     Zide's Sports Shop               Athens
 4260     Pro Image Inc                    Ashtabula
 4265     Heffner's Sports Specialties     Akron
 4270     Bob's Sports                     Akron
 4275     Laux Sporting Goods Inc          Amherst
 4280     Mike De Rossi Sports Inc         Albany
 4285     Adventure Out Inc                Albany
 4290     Sports Authority                 Henderson
 4295     Sports Magic                     Dayton
 4300     Kevin's Ski & Sports Rentals     Carson City
 4305     Oshman's Sporting Goods          Albuquerque
 4310     Highpoint Pro Shop               Albuquerque
 4315     Sportsmen's Center               Bordentown
 4320     Ask Us Sports                    Bergenfield
 4325     Sweats N Sports                  Bayville
 4330     Atco Sports                      Atco
 4335     Center Harbor Sport Shop         Center Harbor
 4340     Joe Jone's Ski Shop & Sports     Campton
 4345     Action Sports Ctr                Creighton
 4350     Dewey's Sporting Goods           Bridgeport
 4355     Dugout                           Beatrice
 4360     Prairie Sports Imporium          Ashland
 4365     Mon Dak Sports Ctr & Pawn        Dickinson
 4370     Coyote's Den                     Dickinson
 4375     Pro-am Sports                    Boone
 4380     Bob's Sporting Goods             Biscoe
 4385     Champs Sports                    Asheville
 4390     Sagesport                        Asheboro
 4395     Sports Connection                Butte
 4400     Gart Sports                      Billings
 4405     Fort                             Big Timber
 4410     High Five Sports Inc             Clinton
 4415     Judge-little Co                  Cleveland
 4420     Bowen Sporting Goods             Canton
 4425     Beach's Sporting Goods           Brookfield
 4430     Sport Stop                       Ballwin
 4435     Etcetera                         Bemidji
 4440     Minnesota Twins Pro Shop         Apple Valley
 4445     Anoka Sport Shack                Anoka
 4450     Provisions Sport Shop            Ludington
 4455     Sports Connection                Jackson
 4460     Indian Hill Trading Post         Greenville
 4465     Cahill's Sporting Goods          Dover Foxcroft
 4470     Yankee Sports                    Brunswick
 4475     Rusty Russell Sports             Edgewater
 4480     Personal Best Athletics          Cumberland
 4485     Crofton Classic Pro Shop Ltd     Crofton
 4490     Day Street Sports Shop           Norwood
 4495     Mvp Sports                       Medford
 4500     South Shore Sport About          Hingham
 4505     Aaa Sporting Goods Inc           Kenner
 4510     Southern Sporting Goods          Jefferson
 4515     Gerald's Sporting Goods-baits    London
 4520     Phillip Gall's                   Lexington
 4525     Batter's Box                     Hartford
 4530     Rusty's Outdoor Sports           Hutchinson
 4535     R T Sporting Goods Inc           Garden City
 4540     B & C Sporting Goods             Anthony
 4545     Jimmy's Athletic Apparel         Hammond
 4550     Allied Sporting Goods            Clarksville
 4555     Bob's Pro Shop                   Anderson
 4560     Active Endeavors                 Chicago
 4565     A A Collegiate Pennant Co        Chicago
 4570     Pro Image Inc                    Twin Falls
 4575     Elevation Sports                 Twin Falls
 4580     Life Style Sports                Sioux City
 4585     Hometeam Sporting Goods          Pleasant Hill
 4590     Harold Nichols Wrestling Eqpt    Ames
 4595     Local Motion                     Honolulu
 4600     Sports Line                      Hilo
 4605     Bike Shop                        Hilo
 4610     Euro-equipment Fitness           Marietta
 4615     Athletic Exchange                Marietta
 4620     Sports Fantasy                   Mary Esther
 4625     Pro Sports Inc                   Mary Esther
 4630     Lemi Custom Club                 Longwood
 4635     Racing's Total Image             Seaford
 4640     Paceline Cycle Ctr               Newark
 4645     Athlete's Foot                   Newark
 4650     Spedo Authenic Fitness           Washington
 4655     Nash's Sports Ctr                Washington
 4660     Metropolis Bicycles              Washington
 4665     Athlete's Foot                   Washington
 4670     Connecticut Sporting Goods Co    New London
 4675     Oakwood Sports & Fitness Ctr     Glastonbury
 4680     Instant Replay Sports            Gunnison
 4685     Royal Gorge Anglers              Canon City
 4690     Mountain Angler                  Breckenridge
 4695     Big 5 Sporting Goods             Redwood City
 4700     Redondo Sports                   Redondo Beach
 4705     Adin Supply Co                   Adin
 4710     Popular Surplus Stores           Yuma
 4715     Arizona Sports Club              Phoenix
 4720     Best Sports Inc                  Rogers
 4725     Fitness Tech                     Little Rock
 4730     Tackle Box                       Fort Smith
 4735     Pete's Soccer Shop               Huntsville
 4740     Las Vegas Discount Golf/tennis   Huntsville
 4745     Fishin Hole                      Soldotna
 4750     Alaskan Tackle Shop              Soldotna
 4755     Gary King's Sporting Goods       Kenai
 4760     Anchor Angler                    Anchor Point
 4765     Sport Fair Inc                   Arlington
 4770     Underground Sports               Arlington
 4775     Specialty Sports & Sports Med    Ashburn
 4780     Twin Creeks Sports               Bandy
 4785     Metropolitan Sports              Annandale
 4790     Sports Unlimited                 Appomattox
 4795     Champs Sports                    Arlington
 4800     Replay Sports                    Alexandria
 4805     Skater's Paradise                Alexandria
 4810     Annandale Sports Inc             Annandale
 4815     Academy Sports                   Layton
 4820     Adventure Sports Inc             Logan
 4825     Als Sporting Goods               Logan
 4830     All American Sports              Logan
 4835     Delta Sports Ctr                 Delta
 4840     Custom Sports Lc                 Hyde Park
 4845     Second Mile                      Ivins
 4850     Brian Head Sports Inc            Brian Head
 4855     Cedar City Sports Court          Cedar City
 4860     Ron's Sporting Goods             Cedar City
 4865     Sportsmans                       Clearfield
 4870     Lee's                            Beaver
 4875     Garts Sports                     Bountiful
 4880     Scoreboard Sports                Bountiful
 4885     Under Par Golf                   Bountiful
 4890     Arlington Sporting Goods         Arlington
 4895     Active Athlete Inc               Austin
 4900     Armadillo Sport                  Austin
 4905     High Country Sports              American Fork
 4910     It's Fantastic                   Amarillo
 4915     Locker Room                      Amarillo
 4920     Academy Sports & Outdoors        Arlington
 4925     Allen Sports Ctr                 Allen
 4930     Buck's Sporting Goods            Amarillo
 4935     C D Ski & Sports                 Amarillo
 4940     Hill's Sport Shop                Amarillo
 4945     Sports Extreme                   Abilene
 4950     Triple Diamond Sports            Alamo
 4955     Sportsman's Bailiwick            Alamo Heights
 4960     Wright Sporting Goods            Alice
 4965     Sports Spectrum                  Chattanooga
 4970     Sports Stuff                     Chattanooga
 4975     Around The Plate Inc             Abilene
 4980     Athletic Supply                  Abilene
 4985     Fast Break                       Chattanooga
 4990     Hibbett Sports                   Chattanooga
 4995     Paddle Sports Inc                Chattanooga
 5000     Sports Fantasy                   Chattanooga
 5005     Athletic Attic                   Chattanooga
 5010     Athletic Shop                    Chattanooga
 5015     Chattanooga Sports               Chattanooga
 5020     East Ridge Sports                Chattanooga
 5025     Stateline Sporting Goods         Ardmore
 5030     Duggans Sporting Goods           Benton
 5035     Cmt Sporting Goods Co            Bristol
 5040     All Star Sporting Goods          Carthage
 5045     Finish Line                      Antioch
 5050     King Of Clubs                    Antioch
 5055     Sport Seasons                    Antioch
 5060     XXX Sports                       Antioch
 5065     Austad's                         Sioux Falls
 5070     Dakota Sports Inc                Sioux Falls
 5075     Dauby's Sport Shop               Sioux Falls
 5080     Pokey's & Sports                 Alcoa
 5085     Champ's Sporting Goods           Antioch
 5090     Scheels All Sports               Rapid City
 5095     Sports Unlimited                 Rapid City
 5100     Stadium Sports                   Rapid City
 5105     Athletic Edge                    Sioux Falls
 5110     Capital Sports                   Pierre
 5115     Adventure Sport                  Rapid City
 5120     Athletics North                  Rapid City
 5125     Dakotamart Outdoor Sports        Rapid City
 5130     Coach's Too Sporting Goods       Brandon
 5135     Granite Sports                   Hill City
 5140     Kohn's Sports Shop               Lemmon
 5145     Harve's Sport Shop               Mitchell
 5150     Tiger Sports Shop                Clemson
 5155     Hendrix's Sporting Goods         Clinton
 5160     Columbia Sports                  Columbia
 5165     All Dakota Sporting Goods Inc    Aberdeen
 5170     Sodak Bait & Sport Shop          Aberdeen
 5175     Howards Sports                   Cayce
 5180     Extra Mile                       Charleston
 5185     Maxx'd Out                       Charleston
 5190     R & M Sporting Goods             Charleston
 5195     Tri-county Sports                Barnwell
 5200     Sportsman Shop                   Beaufort
 5205     Brad's Outdoor Emporium          Blackville
 5210     Sports Connection                Camden
 5215     Jim Hanna Sports                 Aiken
 5220     Rinehart's Sporting Goods        Aiken
 5225     Champs Sports                    Anderson
 5230     Dillard's Sport Ctr              Anderson
 5235     Skater's Edge Pro Shop           Portsmouth
 5240     Courts Sporting Goods            Providence
 5245     Abbeville Sporting G             Abbeville
 5250     Aiken Sporting Goods             Aiken
 5255     Hibbett Sports                   Aiken
 5260     Northern Calls Inc               North Kingstown
 5265     Titan Sporting Goods Inc         North Kingstown
 5270     Dicks Sport & Hobby Shop         Pawtucket
 5275     On Target Sports                 Harrisville
 5280     Capitol Game Place               Lincoln
 5285     Dmk Sports Pro Shop              Lincoln
 5290     Island Sports                    Middletown
 5295     Instant Replay                   Newport
 5300     Elmwood Sports Ctr Inc           Cranston
 5305     Herman's World-sporting Goods    Cranston
 5310     Cadden's Sportstown              Cumberland
 5315     Kickin' Sports                   East Greenwich
 5320     Kettering Sporting Goods         Annville
 5325     Gamma Sports                     Apollo
 5330     Outdoor Store                    Apollo
 5335     Silva's Sports Soccer Spec       Bristol
 5340     Dunham's Discount Sports         Altoona
 5345     J K Sports                       Altoona
 5350     Sports Arena                     Altoona
 5355     Unkel Joe's Woodshed             Altoona
 5360     Sol's Store Of Ambridge          Ambridge
 5365     Sports Fever                     Allentown
 5370     Sports Locker                    Allentown
 5375     Hill's Sports Ctr & Store        Allenwood
 5380     Ceglar Sports                    Altoona
 5385     Franklin Sporting Goods          Aliquippa
 5390     Vit's Sporting Goods             Aliquippa
 5395     Gebhardt's                       Allentown
 5400     Karess & Reich                   Allentown
 5405     Supply Depot                     Bend
 5410     Tri Mountain Sports              Bend
 5415     Brookings Sports Unlimited       Brookings
 5420     Escape Hatch Sports & Cycle      Brookings
 5425     Pine Point Ski & Sport           Albrightsville
